         2011094 function calls (1975504 primitive calls) in 3.133 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:450(SelectableGroups)
        1    0.000    0.000    0.000    0.000 __init__.py:456(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:47(PackageNotFoundError)
       61    0.001    0.000    0.003    0.000 __init__.py:47(_initialize)
        1    0.000    0.000    0.000    0.000 __init__.py:479(StringTemplateStyle)
       19    0.000    0.000    0.000    0.000 __init__.py:482(cycler)
        1    0.000    0.000    0.000    0.000 __init__.py:490(PackagePath)
        1    0.000    0.000    0.000    0.000 __init__.py:495(hugepage_setup)
        1    0.000    0.000    0.000    0.000 __init__.py:500(_get_xdg_config_dir)
        3    0.000    0.000    0.000    0.000 __init__.py:501(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:502(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:506(FileHash)
        4    0.000    0.000    0.000    0.000 __init__.py:509(cast)
        1    0.000    0.000    0.000    0.000 __init__.py:510(_get_xdg_cache_dir)
        3    0.000    0.000    0.000    0.000 __init__.py:512(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:514(Distribution)
        2    0.000    0.000    0.000    0.000 __init__.py:519(_get_config_or_cache_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:522(Formatter)
        1    0.000    0.000    0.003    0.003 __init__.py:532(from_name)
       19    0.000    0.000    0.000    0.000 __init__.py:546(_cycler)
        1    0.000    0.000    0.000    0.000 __init__.py:55(SCS)
        1    0.000    0.000    0.000    0.000 __init__.py:560(get_configdir)
        2    0.000    0.000    0.000    0.000 __init__.py:567(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:57(fget)
        1    0.000    0.000    0.000    0.000 __init__.py:577(_discover_resolvers)
        1    0.000    0.000    0.000    0.000 __init__.py:579(get_cachedir)
        4    0.000    0.000    0.000    0.000 __init__.py:580(<genexpr>)
